ItinID;MktID;MktCoupons;Year;Quarter;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;Origin;OriginCountry;OriginStateFips;OriginState;OriginStateName;OriginWac;DestAirportID;DestAirportSeqID;DestCityMarketID;Dest;DestCountry;DestStateFips;DestState;DestStateName;DestWac;AirportGroup;WacGroup;TkCarrierChange;TkCarrierGroup;OpCarrierChange;RPCarrier;TkCarrier;OpCarrier;BulkFare;Passengers;MktFare;MktDistance;MktDistanceGroup;MktMilesFlown;NonStopMiles;ItinGeoType;MktGeoType
201513819396;20151381939602;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;4318;2340;0.0;1;0.0;0;0;0;0.0;1.0;289.18;1947.0;4;2351.0;2218.0;2;2
201513819397;20151381939701;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;300.98;2218.0;5;2218.0;2218.0;2;2
201513819397;20151381939702;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;4318;2340;0.0;1;0.0;0;0;0;0.0;1.0;319.02;1947.0;4;2351.0;2218.0;2;2
201513819398;20151381939801;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;431.56;2218.0;5;2218.0;2218.0;2;2
201513819398;20151381939802;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;4318;2340;0.0;1;0.0;0;0;0;0.0;1.0;457.44;1947.0;4;2351.0;2218.0;2;2
201513819399;20151381939901;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;203.18;2218.0;5;2218.0;2218.0;2;2
201513819399;20151381939902;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;39;19;0.0;1;0.0;0;0;0;0.0;1.0;204.82;1242.0;3;2236.0;2218.0;2;2
201513819400;20151381940001;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;178.65;2218.0;5;2218.0;2218.0;2;2
201513819400;20151381940002;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;97;54;0.0;1;0.0;0;0;0;0.0;1.0;194.35;1797.0;4;2413.0;2218.0;2;2
201513819401;20151381940101;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;186.31;2218.0;5;2218.0;2218.0;2;2
201513819401;20151381940102;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;97;54;0.0;1;0.0;0;0;0;0.0;1.0;202.69;1797.0;4;2413.0;2218.0;2;2
201513819402;20151381940201;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;5.27;2218.0;5;2218.0;2218.0;2;2
201513819402;20151381940202;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;447;269;0.0;1;0.0;0;0;0;0.0;2.0;5.73;862.0;2;2408.0;2218.0;2;2
201513819403;20151381940301;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;206.17;2218.0;5;2218.0;2218.0;2;2
201513819403;20151381940302;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;447;269;0.0;1;0.0;0;0;0;0.0;1.0;223.83;862.0;2;2408.0;2218.0;2;2
201513819404;20151381940401;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;226.79;2218.0;5;2218.0;2218.0;2;2
201513819404;20151381940402;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;447;269;0.0;1;0.0;0;0;0;0.0;1.0;246.21;862.0;2;2408.0;2218.0;2;2
201513819405;20151381940501;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;282.4;2218.0;5;2218.0;2218.0;2;2
201513819405;20151381940502;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;447;269;0.0;1;0.0;0;0;0;0.0;1.0;306.6;862.0;2;2408.0;2218.0;2;2
201513819406;20151381940601;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;5.47;2218.0;5;2218.0;2218.0;2;2
